unknown instruction
$0: 0x00000000
$1: 0x00000000
$2: 0x00000001
$3: 0x10000000
$4: 0x00000158
$5: 0x00000073
$6: 0x00000126
$7: 0x00000054
$8: 0x00000012
$9: 0x10000004
$10: 0x00000054
$11: 0x00000012
$12: 0x00000000
$13: 0x00000000
$14: 0x00000001
$15: 0x00000005
$16: 0x00000000
$17: 0x000000ab
$18: 0x00000001
$19: 0x00000001
$20: 0x00000158
$21: 0x00000005
$22: 0x00000004
$23: 0x00000000
$24: 0x00000000
$25: 0x00000000
$26: 0x00000000
$27: 0x00000000
$28: 0x00000000
$29: 0x00000000
$30: 0x00000000
$31: 0x00000000
PC: 0x000000f0
